p_id,name,price,colour,brand,ratingCount,avg_rating
13237590,Anouk Women Pink Solid Kurta Set,2299,Pink,Anouk,108,4.25
7344664,Varanga Women Pink & Grey Printed Anarkali Kurta,3699,Pink,Varanga,1728,4.178240741
19207138,Prakhya Women Blue Floral Printed Kurta with Trousers & With Dupatta,4498,Blue,Prakhya,,
17090142,Anouk Women Pink Solid Kurta with Trousers,3399,Pink,Anouk,18,4.222222222
14602198,Libas Women Blue Layered Chanderi Silk Kurta with Palazzos & With Dupatta,9999,Blue,Libas,16,4.4375
13238184,Anouk Women White & Pink Cotton Ethnic Motifs Printed Straight Kurta with Pockets,1899,White,Anouk,374,4.077540107
16362740,House of Pataudi Women Yellow & Gold-Toned Striped Angrakha Kurta,3499,Yellow,House of Pataudi,,
9861569,AHIKA Women Pink & White Printed Straight Kurta,860,Pink,AHIKA,6616,3.716898428
13905666,Anouk Women Blue & Yellow Ethnic Motifs Pure Cotton Printed Kurta,999,Blue,Anouk,1102,3.956442831
7372858,anayna Women Maroon & Beige Printed Straight Kurta,1799,Maroon,anayna,891,4.107744108
6630426,Vishudh Women Green Printed Straight Kurta,1549,Green,Vishudh,1556,3.897172237
17102460,Anouk Women Cream-Coloured Striped Kurta with Trousers,1699,Cream,Anouk,25,4.08
19040404,KARAJ JAIPUR Women Pink Embroidered Kurti with Trousers & With Dupatta,4895,Pink,KARAJ JAIPUR,,
12663796,EXTRA LOVE BY LIBAS Plus Size Women Pink Ethnic Motifs Printed Cotton Kurta with Trousers,2499,Pink,EXTRA LOVE BY LIBAS,479,4.321503132
15863332,Vishudh Women Pink Keyhole Neck Thread Work Kurta,1249,Pink,Vishudh,59,3.508474576
13078430,W Women Black & Golden Printed Straight Kurta,1899,Black,W,271,4.15498155
19049798,Rustorange Women Black Printed Kurti with Dhoti Pants & With Dupatta,2549,Black,Rustorange,,
15212276,Varanga Women Rust Brown & Beige Floral Screen Printed Pure Cotton A-Line Kurta,3499,Rust,Varanga,149,3.979865772
15388170,W Women Green & White Ethnic Motifs Printed Kurta,1999,Green,W,68,3.441176471
15883506,Vishudh Women Pink Striped Layered Top with Palazzos & Jacket,2849,Pink,Vishudh,63,4.285714286
18288422,Bhama Couture Women Off White  Floral Chanderi Silk Anarkali Kurta & Dupatta,4499,Off White,Bhama Couture,29,3.586206897
18952266,KALINI Women Burgundy Ethnic Motifs Chikankari Kurta,1050,Burgundy,KALINI,,
16362760,House of Pataudi Women Navy Blue Floral Printed Jashn Kurta with Palazzos & With Dupatta,3699,Navy Blue,House of Pataudi,,
13681780,ZIYAA Women Green & White Self Design Kurta with Trousers,2842,Green,ZIYAA,1426,3.429172511
12530322,HERE&NOW Women Off-White & Red Printed Straight Kurta,1199,Off White,HERE&NOW,553,4.074141049
17761364,Varanga Women Red Kurta with Trousers & With Dupatta,4999,Red,Varanga,19,4.263157895
14602270,Libas Women Grey Self Design Chanderi Silk Kurta with Skirt & With Dupatta,7999,Grey,Libas,20,4.5
